ID,#YY,MM,DD,hh,mm,WDIR(degT),WSPD(m/s),GST(m/s),DPD(sec),APD(sec),MWD(degT),PRES(hPa),ATMP(degC),WTMP(degC),DEWP(degC),WVHT(m)
20187171850,2018,7,17,18,50,2,6.3,7.3,4.76,3.66,27,1018.9,20.7,22.6,16.2,0.65
20187171950,2018,7,17,19,50,7,6.7,7.9,4.76,3.85,26,1018.9,20.7,22.6,16.4,0.69
20187172050,2018,7,17,20,50,22,7.7,8.9,4.76,3.89,40,1018.4,20.7,22.7,15.7,0.81
20187172150,2018,7,17,21,50,24,7.5,8.9,4.76,3.91,33,1018.5,20.3,22.7,15.3,0.84
20187172250,2018,7,17,22,50,24,8.4,9.4,4.76,4.11,43,1018.2,20.4,22.7,14.9,1.02
20187172350,2018,7,17,23,50,24,7.9,9.4,5.26,4.16,46,1018.3,20.3,22.6,15.1,1.06
2018718050,2018,7,18,0,50,21,7.4,9.3,5.26,4.27,49,1018.4,20.4,22.5,14.5,1.2
2018718150,2018,7,18,1,50,24,7.8,9.2,5.26,4.13,46,1018.4,20.4,22.4,15,1.14
2018718250,2018,7,18,2,50,31,9,11.1,5.26,4.15,45,1018.5,21,22.4,14.3,1.17
2018718350,2018,7,18,3,50,35,8.5,9.8,5.56,4.27,37,1018.8,21,22.3,13.9,1.28
2018718450,2018,7,18,4,50,31,8,9.5,5.56,4.27,38,1019.1,21,22.3,13.1,1.3
2018718550,2018,7,18,5,50,39,7,8,5.26,4.21,39,1019.3,21,22.2,12.4,1.13
2018718650,2018,7,18,6,50,40,6.7,7.6,4.76,4.12,42,1019.5,20.9,22.2,12,1.04
2018718750,2018,7,18,7,50,71,5.9,6.7,5.56,4.08,28,1019.6,19.8,22.1,14.2,0.86
2018718850,2018,7,18,8,50,71,5.5,6.6,5.56,4,17,1019.8,19.3,22.2,13.7,0.73
2018718950,2018,7,18,9,50,66,4.6,5.9,5.88,4.08,8,1020.1,19,22.2,13.3,0.69
20187181050,2018,7,18,10,50,59,3.1,4.3,5.56,3.99,5,1020.7,19,22.2,13,0.65
20187181150,2018,7,18,11,50,71,2.1,3.3,5.56,4.03,3,1020.8,19.4,22.2,13.4,0.59
20187181250,2018,7,18,12,50,43,2.1,2.9,5.56,4.2,8,1020.9,19.3,22.2,13.2,0.59
20187181350,2018,7,18,13,50,43,3.1,4.4,4.35,3.98,19,1020.8,19.1,22.3,13.5,0.52
20187181450,2018,7,18,14,50,60,3.1,4.1,4.76,3.97,20,1020.8,19.2,22.3,13.9,0.5
20187181550,2018,7,18,15,50,68,3,4.1,4.76,3.79,24,1020.7,19,22.5,14.2,0.46
20187181650,2018,7,18,16,50,57,2.9,3.8,4.76,3.67,21,1020.5,19.1,22.6,14.4,0.45
20187181750,2018,7,18,17,50,40,3,3.9,4.55,3.53,38,1020.5,19.3,22.8,13.6,0.42
20187181850,2018,7,18,18,50,23,2.5,3.6,4.35,3.49,31,1020.3,19.6,23,13.4,0.38
20187181950,2018,7,18,19,50,3,2,2.8,4.35,3.46,32,1019.9,19.9,23.2,13.1,0.33
20187182050,2018,7,18,20,50,327,2.3,3.2,4.17,3.49,31,1019.5,20.4,23.2,12.6,0.3
20187182150,2018,7,18,21,50,340,1.5,1.9,4.17,3.61,43,1018.8,20.9,23.3,12.3,0.28
20187182250,2018,7,18,22,50,7,2.9,3.5,4.76,3.9,37,1018.3,21.3,23.2,12.9,0.27
20187182350,2018,7,18,23,50,28,4.6,5.2,4.35,3.88,34,1017.7,21.6,23,13.9,0.26
2018719450,2018,7,19,4,50,71,2.6,3.3,2.94,3.22,58,1017.5,21.6,22.5,16,0.26
2018719550,2018,7,19,5,50,87,2.5,3.3,3.23,3.29,32,1017.5,21.6,22.4,15.8,0.29
2018719650,2018,7,19,6,50,102,2.2,2.7,3.33,3.41,16,1017.5,21.5,22.5,15.6,0.28
2018719750,2018,7,19,7,50,115,1.9,2.4,3.7,3.39,17,1017.3,21.5,22.4,15.7,0.28
2018719850,2018,7,19,8,50,109,3.2,3.8,3.57,3.27,23,1016.9,21.5,22.4,15.2,0.26
20187191150,2018,7,19,11,50,92,4.7,5.6,2.94,2.83,97,1016.7,21.8,22.4,15.1,0.31
20187191250,2018,7,19,12,50,93,2.7,3.5,2.94,2.91,90,1016.9,21.1,22.5,15.4,0.31
20187191350,2018,7,19,13,50,93,3.4,4.4,3.03,2.96,100,1016.3,21.1,22.6,16.7,0.29
20187191450,2018,7,19,14,50,139,4,4.7,3.23,2.83,85,1015.9,21.6,22.7,17.2,0.27
20187191650,2018,7,19,16,50,138,5.3,6.6,2.74,2.64,103,1015,22.2,22.8,17.8,0.29
20187191750,2018,7,19,17,50,147,5,5.7,2.94,2.69,128,1014.8,22.7,22.9,17.8,0.32
20187191850,2018,7,19,18,50,123,4.3,5.1,2.86,2.7,146,1014.1,23.1,23,19,0.29
2018720250,2018,7,20,2,50,133,6.7,7.8,2.86,2.75,146,1009.8,24.4,22.8,19.5,0.31
2018720350,2018,7,20,3,50,128,7.8,9.2,3.13,2.95,149,1009.2,24.2,22.8,19.5,0.41
2018720450,2018,7,20,4,50,131,9.7,11.8,3.45,3.4,132,1008.6,24.2,22.7,19.1,0.72
2018720550,2018,7,20,5,50,135,10.8,12.8,4.35,3.82,144,1007.9,24,22.6,18.4,0.97
2018720650,2018,7,20,6,50,128,10.6,12.7,4.76,4.33,139,1006.9,23.8,22.6,18.6,1.37
2018720750,2018,7,20,7,50,134,11.3,13.4,5.26,4.38,145,1006.1,23.9,22.6,18.4,1.35
2018720850,2018,7,20,8,50,139,11.7,15.4,4.76,4.49,143,1005.4,23.8,22.6,18.1,1.61
2018720950,2018,7,20,9,50,148,10.7,12.7,5.26,4.61,148,1005.1,23.6,22.6,18.4,1.77
20187201050,2018,7,20,10,50,153,9.3,11.2,5.26,4.52,151,1005.1,23.3,22.5,19.9,1.63
20187201150,2018,7,20,11,50,153,9.6,11.6,5.56,4.38,156,1005,23.2,22.5,19.7,1.43
20187201250,2018,7,20,12,50,159,9.1,11.4,5,4.31,150,1004.6,23.3,22.4,19.8,1.43
20187201350,2018,7,20,13,50,158,10.5,12.9,5.56,4.28,152,1004.6,23,22.4,19.4,1.39
20187201450,2018,7,20,14,50,155,10.7,13.1,5.56,4.28,154,1004.7,22.8,22.4,19,1.42
20187201550,2018,7,20,15,50,153,9.1,10.9,5.26,4.16,157,1004.3,22.9,22.4,19.5,1.36
20187201650,2018,7,20,16,50,139,8.7,10.2,5,4.21,164,1004,23.1,22.4,19.7,1.26
20187201750,2018,7,20,17,50,149,4.8,6.8,5,4.04,165,1003.6,23.1,22.4,20,1.02
20187201850,2018,7,20,18,50,237,4,5.3,5,4,148,1003.1,20.5,22.4,19.1,0.84
20187201950,2018,7,20,19,50,171,1.4,2,5,3.76,144,1003.1,21.2,22.5,19.3,0.62
20187202050,2018,7,20,20,50,173,5.9,6.8,4.76,3.7,158,1002.9,21.9,22.7,19.7,0.5
20187202150,2018,7,20,21,50,181,4.8,5.7,4.55,3.43,155,1002.8,22.3,22.7,19.7,0.44
20187202250,2018,7,20,22,50,187,4.1,5.1,4.35,3.27,151,1003,22.1,22.7,20.1,0.42
20187202350,2018,7,20,23,50,239,2,2.9,4,3.22,143,1003.1,21.6,22.7,20,0.39
2018721050,2018,7,21,0,50,238,2.7,3.6,3.7,3.36,140,1002.9,21.7,22.7,19.9,0.41
2018721150,2018,7,21,1,50,193,0.5,0.9,3.85,3.42,149,1003.1,21.7,22.7,19.8,0.4
2018721250,2018,7,21,2,50,123,1.9,2.4,4.17,3.49,177,1003.2,21.8,22.7,19.9,0.4
2018721350,2018,7,21,3,50,90,2.5,3,4,3.33,197,1003,21.9,22.7,19.8,0.36
2018721450,2018,7,21,4,50,94,3.8,4.3,3.85,3.26,211,1002.9,21.8,22.7,20.4,0.34
2018721550,2018,7,21,5,50,100,2.8,3.2,3.7,3.13,198,1003,21.7,22.6,20.1,0.33
2018721650,2018,7,21,6,50,47,6.1,7,3.45,3.02,227,1002.9,21.3,22.6,19.8,0.37
2018721750,2018,7,21,7,50,42,5.7,6.5,2.86,2.84,109,1003,21.3,22.6,19.6,0.35
2018721850,2018,7,21,8,50,32,5.6,6.4,2.94,2.84,72,1002.9,21.3,22.5,19.2,0.33
2018721950,2018,7,21,9,50,22,4.6,5.7,2.94,2.93,80,1003.4,21.4,22.5,20.1,0.29
20187211050,2018,7,21,10,50,51,7.6,8.7,2.86,2.9,70,1003.9,21.3,22.5,20.1,0.34
20187211150,2018,7,21,11,50,47,7.3,8.5,3.45,3.25,66,1004.6,21.2,22.5,20,0.53
20187211250,2018,7,21,12,50,46,7.2,8.3,4.17,3.6,70,1005.2,21,22.5,19.7,0.71
20187211350,2018,7,21,13,50,33,7.5,8.7,4.35,3.65,73,1006,21.1,22.5,19.6,0.78
20187211450,2018,7,21,14,50,17,8.7,9.9,4,3.58,69,1006.2,20.9,22.6,19.2,0.85
20187211550,2018,7,21,15,50,17,7.9,9.4,4.76,3.65,53,1006.8,21.1,22.6,19.3,0.89
20187211650,2018,7,21,16,50,18,7.6,8.8,4.55,3.63,52,1007.1,21.3,22.6,19.2,0.91
20187211750,2018,7,21,17,50,22,7.2,8.1,4.17,3.7,44,1007,20.9,22.6,19.3,0.88
20187211850,2018,7,21,18,50,7,7.8,9.4,4.35,3.59,31,1007.3,20.6,22.6,19.3,0.78
20187211950,2018,7,21,19,50,358,7.8,8.9,5.56,4.31,9,1007.4,21.1,22.6,19.2,1.07
20187212050,2018,7,21,20,50,354,8.1,9.4,5.56,4.22,8,1007.5,21.2,22.6,19.5,1.09
20187212150,2018,7,21,21,50,3,6.4,7.3,5.88,4.3,11,1007.7,21.4,22.6,19.2,1.04
20187212250,2018,7,21,22,50,355,7.4,8.8,6.25,4.42,10,1007.9,21.4,22.6,19.5,1.04
20187212350,2018,7,21,23,50,2,7.7,8.8,5.88,4.35,10,1008,21.4,22.5,19.7,1.02
2018722050,2018,7,22,0,50,11,7.7,9.3,4.35,4.14,23,1008.2,21.6,22.5,20.3,0.93
2018722150,2018,7,22,1,50,24,8.4,9.9,5.56,4.32,14,1008.5,21.4,22.4,20.1,1.08
2018722250,2018,7,22,2,50,44,7.2,8.6,5.56,4.57,11,1009,21.5,22.4,19.8,1.28
2018722350,2018,7,22,3,50,27,8.5,9.7,5.88,4.63,11,1009,21.5,22.3,20,1.22
2018722450,2018,7,22,4,50,22,8.3,9.7,5.88,4.42,11,1009.1,21.5,22.3,20.2,1.19
2018722550,2018,7,22,5,50,23,8.1,9.4,5.56,4.41,22,1009.2,21.6,22.3,20.3,1.16
2018722650,2018,7,22,6,50,27,7.9,9.5,5.88,4.38,19,1009,21.5,22.3,19.9,1.18
2018722750,2018,7,22,7,50,30,7.5,8.7,6.25,4.27,28,1008.8,21.4,22.3,20,1.1
2018722850,2018,7,22,8,50,20,7.5,8.9,6.25,4.42,26,1008.9,21.3,22.3,20,1.17
2018722950,2018,7,22,9,50,25,7.5,9.3,6.25,4.41,24,1009.1,21.4,22.3,19.9,1.19
20187221050,2018,7,22,10,50,34,7.3,8.5,5.56,4.35,29,1009.2,21.4,22.3,20,1.08
20187221150,2018,7,22,11,50,38,7.7,8.9,5,4.32,27,1009.5,21.5,22.3,19.7,1.13
20187221250,2018,7,22,12,50,31,7.6,8.7,5.88,4.54,19,1010.1,21.5,22.2,19.8,1.13
20187221350,2018,7,22,13,50,31,7.3,8.3,6.67,4.76,23,1010.6,21.5,22.2,19.8,1.27
20187221450,2018,7,22,14,50,27,7.5,8.9,6.25,4.59,18,1011,21.4,22.2,19.7,1.14
20187221550,2018,7,22,15,50,22,7.9,9.1,6.25,4.67,23,1011.3,21.3,22.2,20,1.23
20187221650,2018,7,22,16,50,27,7.9,9.2,6.25,4.43,21,1011.1,21.6,22.2,19.6,1.17
20187221750,2018,7,22,17,50,8,8.5,10.2,5.26,4.37,29,1011.2,21.3,22.2,19.8,1.13
20187221850,2018,7,22,18,50,16,8.8,10.4,5.56,4.24,21,1011.2,21.5,22.3,19.9,1.09
20187221950,2018,7,22,19,50,17,8.6,9.9,5.88,4.48,29,1011.1,21.5,22.3,20.1,1.29
20187222050,2018,7,22,20,50,8,8.1,9.3,6.67,4.77,19,1011.4,21.8,22.3,20,1.39
20187222150,2018,7,22,21,50,10,8.4,9.5,6.67,4.79,15,1011.6,21.8,22.4,19.9,1.48
20187222250,2018,7,22,22,50,21,5,5.8,6.25,5.1,23,1012.1,22.3,22.4,20,1.67
20187222350,2018,7,22,23,50,11,6.1,7.2,6.67,5.11,17,1012.5,22.5,22.4,19.4,1.46
2018723050,2018,7,23,0,50,25,8.5,10,6.67,4.98,27,1012.7,21.8,22.3,19.4,1.38
2018723150,2018,7,23,1,50,9,9,10.7,6.67,4.85,21,1012.8,21.9,22.3,18.5,1.41
2018723250,2018,7,23,2,50,7,8.7,10.7,6.67,4.78,28,1013,22.2,22.3,18.5,1.34
2018723350,2018,7,23,3,50,14,9.4,11.3,6.25,4.53,34,1012.9,21.9,22.3,19.3,1.3
2018723450,2018,7,23,4,50,87,7.3,9.3,6.25,4.63,16,1012.7,20.7,22.2,17.8,1.34
2018723550,2018,7,23,5,50,46,0.6,1.2,6.25,4.81,21,1012.4,21,22.2,16.3,1.17
2018723650,2018,7,23,6,50,295,4.5,5.4,6.25,4.62,1,1012.2,21.1,22.2,17.6,0.99
2018723750,2018,7,23,7,50,350,9,10.3,5.88,4.28,36,1011.9,21,22.2,18.7,0.91
2018723850,2018,7,23,8,50,8,7.8,9.2,5.56,4.2,40,1011.6,20.9,22.2,18.4,1.02
2018723950,2018,7,23,9,50,3,7.8,9,4.35,4.14,39,1011.5,20.6,22.2,18.2,1.04
20187231050,2018,7,23,10,50,1,7.8,9.5,5.56,4.22,27,1011.6,20.6,22.1,18.6,1.15
20187231150,2018,7,23,11,50,355,7.2,8.9,5.26,4.27,35,1012.1,20.5,22.1,18.5,1.18
20187231250,2018,7,23,12,50,357,7.5,8.9,5.88,4.42,35,1012.3,20.8,22.1,18.8,1.18
20187231350,2018,7,23,13,50,346,7.4,8.9,5.88,4.46,32,1012.7,20.9,22.1,19.1,1.21
20187231450,2018,7,23,14,50,349,8.4,9.7,5.88,4.44,31,1012.8,20.6,22.1,18.7,1.27
20187231550,2018,7,23,15,50,355,8,9.4,5.56,4.34,32,1012.8,20.5,22.1,18.7,1.13
20187231650,2018,7,23,16,50,352,6.6,7.6,5.88,4.34,31,1012.9,20.3,22.1,18.6,1.16
20187231750,2018,7,23,17,50,360,7.9,9.6,5.88,4.21,28,1012.8,20.4,22.2,18.6,1.1
20187231850,2018,7,23,18,50,359,7.1,8.5,5,4.24,29,1012.8,20.7,22.2,18.8,1.07
20187231950,2018,7,23,19,50,356,6.7,7.7,5,4.17,36,1012.8,20.7,22.2,18.8,0.98
20187232050,2018,7,23,20,50,360,6.4,7.7,4.76,4.33,33,1013.1,20.7,22.2,18.9,1.02
20187232150,2018,7,23,21,50,3,6.2,7.4,5.26,4.12,36,1013.1,20.8,22.2,18.9,0.92
20187232250,2018,7,23,22,50,8,6.2,7.2,5.56,4.07,27,1013.1,20.9,22.2,18.3,0.9
20187232350,2018,7,23,23,50,351,6.4,7.9,5.56,4.11,36,1013.3,21.2,22.2,18.3,0.85
2018724050,2018,7,24,0,50,355,6.4,7.8,5,4.08,33,1013.2,21.1,22.2,18.3,0.85
2018724150,2018,7,24,1,50,349,6.6,7.4,5.56,4.07,39,1013.6,20.8,22.2,18.5,0.88
2018724250,2018,7,24,2,50,358,6.7,7.8,5.56,3.97,36,1013.7,20.9,22.2,19,0.85
2018724350,2018,7,24,3,50,355,6.2,7.4,5.56,3.96,36,1013.6,20.9,22.2,19,0.81
2018724450,2018,7,24,4,50,355,5,6.1,4.55,4,37,1013.7,21,22.1,19.3,0.85
2018724550,2018,7,24,5,50,339,4.6,5.6,5,3.98,33,1013.5,20.9,22.1,19.4,0.73
2018724650,2018,7,24,6,50,357,4.7,5.7,4.76,3.88,31,1013.7,20.9,22.1,19.1,0.65
2018724750,2018,7,24,7,50,4,4.4,6.2,5.26,3.76,29,1013.6,20.8,22.1,18.9,0.62
2018724850,2018,7,24,8,50,350,3.9,4.9,5,3.85,24,1013.8,20.8,22.1,19.2,0.6
2018724950,2018,7,24,9,50,340,4.3,5,4,3.57,21,1014.1,20.9,22.1,19.3,0.49
20187241050,2018,7,24,10,50,342,4.5,5.5,5,3.67,25,1014.4,20.9,22.1,19.1,0.48
20187241150,2018,7,24,11,50,352,4.6,5.5,4.35,3.49,22,1014.7,21,22.1,19.3,0.42
20187241250,2018,7,24,12,50,354,5.3,6,4.55,3.42,26,1015,21.4,22.1,18.7,0.41
20187241350,2018,7,24,13,50,1,4.8,5.8,4.35,3.2,25,1015.4,21.2,22.1,19.1,0.38
20187241450,2018,7,24,14,50,3,4.6,5.6,4.17,3.17,6,1015.7,21.2,22.2,19.2,0.38
20187241550,2018,7,24,15,50,6,3.7,4.5,3.13,3.16,35,1015.9,21.4,22.3,19.1,0.36
20187241650,2018,7,24,16,50,349,2.9,3.6,3.13,3.15,32,1016,21.4,22.5,18.8,0.38
20187241750,2018,7,24,17,50,339,3,3.9,3.45,3.17,40,1015.9,21.5,22.7,18.7,0.32
20187241850,2018,7,24,18,50,327,2.3,2.9,3.33,3.24,39,1015.6,21.6,22.9,19,0.31
20187241950,2018,7,24,19,50,255,1,1.5,3.57,3.19,36,1015.5,22,23.4,19.3,0.29
2018725850,2018,7,25,8,50,341,6,7.4,2.74,2.62,327,1014.9,22.6,22.5,18.8,0.32
2018725950,2018,7,25,9,50,354,5.9,7,3.03,2.92,349,1015,22.3,22.4,19.1,0.41
20187251050,2018,7,25,10,50,347,5.7,6.5,3.23,3.04,340,1015.2,21.9,22.4,19.6,0.45
20187251150,2018,7,25,11,50,341,5.5,6.2,3.57,3.15,357,1015.3,21.7,22.4,19.7,0.51
20187251250,2018,7,25,12,50,348,4.8,5.6,3.85,3.29,8,1015.6,21.6,22.4,19.9,0.52
20187251350,2018,7,25,13,50,320,5.8,6.5,3.7,3.29,351,1016.7,21.6,22.5,19.9,0.47
20187251450,2018,7,25,14,50,318,5.9,6.7,3.85,3.2,356,1016.6,21.8,22.5,19.8,0.45
20187251550,2018,7,25,15,50,316,4.1,4.9,3.57,3.14,356,1016.6,21.6,22.6,19.4,0.45
20187251650,2018,7,25,16,50,321,2.5,2.9,3.45,3.12,350,1016.3,21.8,22.7,19.3,0.38
20187251750,2018,7,25,17,50,297,3.1,3.6,3.23,3.05,334,1016.2,22.1,22.9,19.2,0.35
20187251850,2018,7,25,18,50,274,2.4,2.8,3.57,3.13,325,1015.8,22.6,23.1,19,0.29
20187251950,2018,7,25,19,50,235,2.1,2.4,3.7,3.21,324,1015.5,23,23.4,18.9,0.26
2018726450,2018,7,26,4,50,193,6.3,7.4,2.94,2.8,176,1011.7,23.7,22.7,19.2,0.34
2018726550,2018,7,26,5,50,202,6.6,7.4,3.13,2.89,172,1011.3,23.9,22.7,19.5,0.43
2018726650,2018,7,26,6,50,227,8.3,9.9,3.23,2.97,170,1010.7,24,22.6,19.9,0.43
2018726750,2018,7,26,7,50,236,8.9,10.7,3.33,3.11,178,1010.2,23.9,22.6,19.1,0.57
2018726850,2018,7,26,8,50,260,8.7,10.4,3.57,3.34,189,1009.7,23.4,22.5,19.3,0.69
2018726950,2018,7,26,9,50,275,8.4,9.7,3.85,3.41,196,1009.9,22.7,22.5,19.3,0.69
20187261050,2018,7,26,10,50,313,7.9,9.8,3.57,3.33,228,1010.5,22,22.5,19.3,0.65
20187261150,2018,7,26,11,50,307,8.7,10.3,4,3.33,231,1011.3,20.9,22.5,17.8,0.75
20187261250,2018,7,26,12,50,314,8.4,10,3.85,3.5,319,1011.5,20.9,22.5,17.2,0.86
20187261350,2018,7,26,13,50,316,7.7,9.3,4.55,3.75,336,1011.9,20.6,22.5,17.1,0.99
20187261450,2018,7,26,14,50,316,7.4,9,4.76,3.89,334,1012.4,20.6,22.4,16.4,1
20187261550,2018,7,26,15,50,295,6.5,7.5,4.55,3.82,315,1012.8,20.8,22.4,15.9,0.91
20187261650,2018,7,26,16,50,291,5.6,6.6,5.26,3.89,320,1012.9,21.2,22.5,16.1,0.86
20187261750,2018,7,26,17,50,277,5.1,5.8,5.26,4.01,317,1012.8,21.6,22.6,15.3,0.77
20187261850,2018,7,26,18,50,289,4.3,5.1,4.76,3.76,311,1012.6,21.9,22.7,14.7,0.63
20187261950,2018,7,26,19,50,297,4.7,5.5,4.35,3.58,318,1012.6,22,22.7,14.9,0.53
20187262050,2018,7,26,20,50,300,7.4,8.5,4.35,3.53,334,1012.3,22.4,22.8,14.2,0.56
20187262150,2018,7,26,21,50,291,5.7,7.1,4.35,3.34,344,1012.5,22.6,22.8,14.7,0.49
20187262250,2018,7,26,22,50,329,4.8,5.7,3.13,3.31,325,1012.9,22,22.7,15.2,0.5
20187262350,2018,7,26,23,50,320,4.9,5.9,4.17,3.35,359,1013.1,22.2,22.7,14.9,0.52
2018727050,2018,7,27,0,50,313,3.8,4.5,4.17,3.53,338,1013.1,22.1,22.7,15.1,0.59
2018727150,2018,7,27,1,50,308,5.5,7.4,4.17,3.65,332,1013.2,22.3,22.6,14.8,0.58
2018727250,2018,7,27,2,50,305,6.2,7.2,4,3.35,319,1013.6,22.4,22.6,15.1,0.53
2018727350,2018,7,27,3,50,310,7.7,9.1,4,3.28,334,1013.6,22,22.6,15.1,0.53
2018727450,2018,7,27,4,50,316,7.9,9.3,4,3.41,339,1013.6,21.5,22.5,14.6,0.71
2018727550,2018,7,27,5,50,300,7.7,8.9,4,3.48,337,1013.6,21.1,22.5,15.2,0.71
2018727650,2018,7,27,6,50,307,7.4,9.1,4,3.41,333,1013.3,20.7,22.4,14.7,0.73
2018727750,2018,7,27,7,50,307,7.9,9.2,4.35,3.41,339,1013.2,20.1,22.4,14.7,0.72
2018727850,2018,7,27,8,50,310,6.9,9,4.17,3.39,336,1013.4,19.6,22.4,14.9,0.78
2018727950,2018,7,27,9,50,313,7.2,8.4,4.35,3.57,335,1013.6,19.3,22.4,15.6,0.76
20187271050,2018,7,27,10,50,316,6.8,8.4,4.17,3.76,334,1013.9,19,22.4,15.8,0.86
20187271150,2018,7,27,11,50,311,6.4,7.7,4.55,3.8,331,1014.6,18.7,22.4,15.5,0.83
20187271250,2018,7,27,12,50,316,7,8.7,4.55,3.83,332,1014.9,18.8,22.4,15.2,0.83
20187271350,2018,7,27,13,50,312,6.7,8.5,4.55,3.73,331,1015.5,18.7,22.4,14.8,0.79
20187271450,2018,7,27,14,50,307,7.9,9.6,5,3.79,322,1016,18.7,22.4,15.2,0.74
20187271550,2018,7,27,15,50,304,6.9,8.2,4.76,3.73,326,1016.6,18.7,22.5,14.9,0.79
20187271650,2018,7,27,16,50,304,7,8.4,4.55,3.89,316,1016.9,18.8,22.5,14.2,0.81
20187271750,2018,7,27,17,50,292,6.1,7.6,4.76,3.88,319,1017.1,19,22.5,13.5,0.85
20187271850,2018,7,27,18,50,305,5.7,7.6,4.76,3.89,316,1017.1,19.6,22.6,13.7,0.76
20187271950,2018,7,27,19,50,313,6,7.3,4.35,3.67,336,1017.3,19.8,22.6,13.5,0.68
20187272050,2018,7,27,20,50,324,4.2,5.2,5,3.7,352,1017.3,20.2,22.6,13,0.7
20187272150,2018,7,27,21,50,337,2.3,3.7,5,3.69,358,1017.3,20.4,22.7,13.1,0.62
20187272250,2018,7,27,22,50,272,0.6,1.1,5.26,3.75,5,1017.5,20.7,22.7,13.4,0.51
20187272350,2018,7,27,23,50,221,1.6,2.5,4.55,3.82,319,1017.5,20.6,22.7,13.4,0.51
2018728050,2018,7,28,0,50,190,2.8,3.7,4.76,3.78,324,1017.6,20.7,22.6,13.9,0.47
2018728150,2018,7,28,1,50,212,2.9,3.7,4.76,3.96,332,1017.7,20.9,22.6,13.9,0.5
2018728250,2018,7,28,2,50,250,3.1,3.8,4.76,3.98,325,1018,21.2,22.6,14.3,0.47
2018728350,2018,7,28,3,50,232,3.7,4.4,4.76,3.83,330,1017.7,21.3,22.5,14.8,0.42
2018728450,2018,7,28,4,50,261,4.9,6,4.76,3.74,332,1017.7,21.6,22.5,14.7,0.36
2018728550,2018,7,28,5,50,288,4.8,6.2,4.17,3.4,338,1017.4,21.8,22.5,14.4,0.33
2018728650,2018,7,28,6,50,312,5.8,6.7,4.17,3.21,1,1017.5,21.7,22.5,14.4,0.31
2018728750,2018,7,28,7,50,333,5.3,6.2,3.23,2.99,7,1017.6,21.3,22.5,15.9,0.36
2018728850,2018,7,28,8,50,318,4.9,5.6,3.23,3.06,351,1018.1,21.3,22.4,15.3,0.38
2018728950,2018,7,28,9,50,343,5.9,6.9,3.45,3.1,353,1018.1,20.8,22.4,16.1,0.37
20187281050,2018,7,28,10,50,347,3.8,4.6,3.33,3.06,353,1018.3,20.6,22.4,15.5,0.38
20187281150,2018,7,28,11,50,319,3,3.8,3.23,3.15,336,1018.9,20.6,22.4,15.8,0.32
20187281250,2018,7,28,12,50,347,1.8,2.4,3.33,3.18,333,1019.5,20.8,22.4,16.1,0.29
20187281350,2018,7,28,13,50,340,2,3.1,3.33,3.13,328,1019.9,20.7,22.4,15.5,0.26
20187281950,2018,7,28,19,50,16,1.7,2.2,3.45,3.27,28,1019.7,21.3,23.9,14.1,0.27
20187282050,2018,7,28,20,50,152,1,1.6,3.57,3.3,358,1019.7,21.8,24.3,14.3,0.28
20187282150,2018,7,28,21,50,95,1.3,2,3.7,3.26,19,1019.5,21.9,24.5,14.2,0.27
2018731250,2018,7,31,2,50,32,5.3,5.9,2.47,2.5,50,1017.7,22.9,23.3,17.1,0.29
2018731350,2018,7,31,3,50,33,4.6,5.4,2.74,2.64,54,1017.8,22.7,23.2,17.8,0.31
2018731450,2018,7,31,4,50,31,4.9,5.7,2.86,2.65,57,1017.7,22.7,23.1,17.9,0.29
2018731550,2018,7,31,5,50,35,4.2,4.8,2.86,2.68,58,1017.8,22.6,23.1,18.1,0.28
2018731650,2018,7,31,6,50,41,5.1,5.8,2.94,2.81,60,1017.6,22.5,23,18.6,0.29
2018731750,2018,7,31,7,50,58,4.3,4.8,3.13,2.86,51,1017.5,22.3,22.9,18.7,0.3
2018731850,2018,7,31,8,50,36,4.7,5.2,3.23,2.94,51,1017.1,22.3,22.9,18.4,0.26
2018731950,2018,7,31,9,50,28,4.9,5.5,3.33,3.05,53,1016.4,22.3,23,18.2,0.3
20187311050,2018,7,31,10,50,38,4.8,5.4,3.45,2.9,53,1016.3,21.9,22.9,18.8,0.28
20187311150,2018,7,31,11,50,41,4.1,4.9,3.33,2.93,41,1017.1,22,22.9,18.9,0.26
20187311250,2018,7,31,12,50,53,3.3,3.9,3.13,2.92,39,1017.4,21.9,22.9,18.8,0.27
2018811550,2018,8,1,15,50,227,5.3,6.2,3.23,2.9,232,1014.4,22.7,23.1,17.9,0.33
2018811650,2018,8,1,16,50,223,5.5,6.6,3.13,2.86,217,1014.1,22.9,23.2,18.8,0.33
2018811750,2018,8,1,17,50,219,6,7.2,3.13,2.87,215,1013.8,23.1,23.2,18.8,0.37
2018811850,2018,8,1,18,50,198,5.6,6.5,3.23,2.92,200,1013.4,23.6,23.3,19,0.41
2018811950,2018,8,1,19,50,192,5.3,6.2,3.13,2.94,203,1013.1,23.9,23.4,19.4,0.39
2018812050,2018,8,1,20,50,220,6.5,9.7,2.86,2.82,190,1013.2,23.8,23.4,19.6,0.37
2018812150,2018,8,1,21,50,220,7.2,8.5,3.23,2.84,182,1012.9,22.7,23.3,17.3,0.47
2018812250,2018,8,1,22,50,211,5.6,7.4,3.23,2.93,187,1013,23.8,23.2,17.3,0.45
